fid;fnev;szulev;szulho;csapat;ffi;kor;ido
1001;Kelemen Dezső;1977;7;100;1;1;2720
1041;Bálint Eszter;1970;11;104;0;1;2312
1391;Biró Csilla;1997;3;139;0;1;2854
1422;Dobos Martin;1973;4;142;1;2;2201
1072;Horváth Dénes;1977;6;107;1;2;2129
1122;Vincze Róbert;1973;9;112;1;2;2993
1092;Péter Elek;1990;4;109;1;2;2721
1452;Szőke Dorina;1999;2;145;0;2;2315
1312;Sipos Szabolcs;1992;11;131;1;2;2128
1112;Bogdán Katalin;1983;10;111;0;2;1740
1352;Kocsis Marcell;1993;4;135;1;2;2896
1192;Szilágyi Anikó;1975;1;119;0;2;2884
1182;Szűcs Klára;1999;9;118;0;2;2545
1412;Kovács Vivien;1986;1;141;0;2;2556
1222;Szalai Renáta;1968;6;122;0;2;2890
1512;Somogyi Marcell;1996;7;151;1;2;1999
1282;Borbély Brigitta;1974;1;128;0;2;1880
1492;Gulyás Aranka;1967;5;149;0;2;2396
1162;László Bertalan;1970;2;116;1;2;2379
1032;Hegedűs Dorina;1992;4;103;0;2;2914
1372;Pásztor Györgyi;1975;5;137;0;2;2059
1102;Halász Dorina;1990;4;110;0;2;2614
1402;Balogh Brigitta;1984;10;140;0;2;2197
1442;Oláh Marcell;1985;10;144;1;2;2011
1302;Mészáros Gergely;1980;3;130;1;2;1984
1002;Váradi Mariann;1992;2;100;0;2;1708
1242;Kovács Ervin;1982;5;124;1;2;2262
1392;Gulyás Ervin;1979;1;139;1;2;2391
1132;Barta Lóránt;1970;8;113;1;2;2914
1172;Lukács Zita;1994;9;117;0;2;2351
1362;Oláh Ida;1997;9;136;0;2;2809
1472;Szilágyi János;1996;5;147;1;2;2408
1432;Molnár Szabolcs;1985;9;143;1;2;1898
1332;Kocsis Tibor;1974;1;133;1;2;2883
1022;Németh Klára;1997;1;102;0;2;2733
1322;Szőke Szabolcs;1966;8;132;1;2;2045
1292;Vass Mátyás;1983;6;129;1;2;3003
1502;Tamás Klaudia;1990;1;150;0;2;2262
1342;Faragó Jolán;1982;9;134;0;2;1888
1042;Fazekas Gizella;1991;2;104;0;2;2240
1252;Nemes Mária;1987;7;125;0;2;2876
1382;Balázs Pál;1980;8;138;1;2;2614
1212;Gáspár Péter;1985;2;121;1;2;2487
1082;Veres Kitti;1972;12;108;0;2;2277
1232;Halász József;1971;12;123;1;2;2149
1012;Molnár Rudolf;1980;5;101;1;2;2227
1062;Antal Gergő;1997;5;106;1;2;2905
1202;Tamás János;1984;8;120;1;2;3066
1142;Veres Olga;1987;3;114;0;2;2618
1152;Varga Márta;1972;3;115;0;2;1744
1262;Gál Viktória;1969;1;126;0;2;1934
1052;Major Róbert;1971;1;105;1;2;2458
1272;Veres Petra;1990;9;127;0;2;2680
1482;Puskás János;1986;11;148;1;2;2796
1462;Takács Réka;1984;10;146;0;2;1883
1383;Tamás Gergő;1976;8;138;1;3;2114
1063;Sipos Benjámin;1970;9;106;1;3;3084
1363;Barta Júlia;1989;8;136;0;3;3068
1173;Kocsis György;1998;6;117;1;3;2181
1293;Fodor Alex;1992;2;129;1;3;1750
1433;Somogyi Márk;1969;6;143;1;3;2871
1423;Nemes József;1972;8;142;1;3;2535
1353;Orbán Gergő;1995;9;135;1;3;1825
1473;Orosz Ildikó;1978;9;147;0;3;2202
1513;Faragó Dávid;1973;10;151;1;3;2312
1133;Lengyel Tivadar;1976;2;113;1;3;2718
1013;Magyar Szabolcs;1998;9;101;1;3;2031
1143;Fazekas Réka;1976;6;114;0;3;2533
1273;Nagy Mariann;1977;3;127;0;3;2200
1463;Novák Júlia;1992;10;146;0;3;1717
1113;Halász Marcell;1967;8;111;1;3;2416
1393;Sándor Lili;1973;9;139;0;3;2965
1253;Biró Zsigmond;1988;12;125;1;3;2850
1233;Szilágyi Emese;1967;6;123;0;3;2117
1313;Gál Terézia;1985;7;131;0;3;2774
1283;Deák Gizella;1991;8;128;0;3;2467
1303;Nemes Anikó;1972;11;130;0;3;1854
1483;Major Virág;1970;1;148;0;3;2113
1333;Varga Ervin;1994;12;133;1;3;1765
1453;Sándor Terézia;1974;3;145;0;3;2426
1443;Bodnár Beatrix;1989;10;144;0;3;2145
1103;Budai Klára;1995;11;110;0;3;1710
1183;Fehér Csongor;1978;7;118;1;3;2118
1053;Király Tibor;1974;12;105;1;3;2418
1243;Szalai Renátó;1977;5;124;1;3;2709
1403;Vincze Szilvia;1971;10;140;0;3;2182
1043;Kovács Bence;1984;1;104;1;3;1702
1023;Szilágyi Roland;1989;1;102;1;3;2035
1373;Szücs Richárd;1993;3;137;1;3;2977
1193;Pataki Kevin;1992;4;119;1;3;2304
1163;Antal Erika;1985;4;116;0;3;1985
1493;Vincze Beáta;1995;6;149;0;3;2187
1503;Katona Barbara;1993;10;150;0;3;2118
1413;Kozma Richárd;1989;1;141;1;3;2807
1093;Király Anita;1998;11;109;0;3;2784
1263;Vincze Barnabás;1977;12;126;1;3;2688
1323;Péter Tünde;1975;7;132;0;3;2061
1213;Papp Bernadett;1998;3;121;0;3;1985
1033;Szekeres Hajnalka;1976;11;103;0;3;2028
1223;Varga Ilona;1989;5;122;0;3;2052
1123;Horváth Alex;1984;1;112;1;3;2371
1343;Veres János;1992;5;134;1;3;2614
1153;Gáspár Barnabás;1982;1;115;1;3;2998
1203;Pintér Zsófia;1991;6;120;0;3;1797
1083;Balog Attila;1988;11;108;1;3;2991
1003;László Szilvia;1990;8;100;0;3;2168
1073;Takács Gergely;1977;1;107;1;3;2804
1374;Varga Henrik;1995;5;137;1;4;1845
1144;Fehér Karolina;1981;4;114;0;4;2763
1034;Novák Kitti;1996;1;103;0;4;2036
1274;Kelemen Dorina;1975;2;127;0;4;1942
1054;Tamás Máté;1973;8;105;1;4;2007
1214;Juhász Balázs;1972;4;121;1;4;2149
1444;Pintér Beáta;1981;7;144;0;4;2838
1364;Orsós Mihály;1983;2;136;1;4;2061
1304;Major Zoltán;1993;9;130;1;4;2997
1434;Kocsis Márta;1992;6;143;0;4;1993
1284;Pap Lajos;1970;1;128;1;4;2853
1084;Vincze Zsolt;1969;12;108;1;4;2735
1074;Sipos Fanni;1967;6;107;0;4;2794
1404;Rácz Júlia;1991;5;140;0;4;2885
1064;Simon Brigitta;1971;10;106;0;4;2783
1464;Kocsis Dániel;1966;3;146;1;4;2235
1504;Németh János;1966;12;150;1;4;1824
1324;Pap Enikő;1966;5;132;0;4;2951
1244;Sándor Zsombor;1992;3;124;1;4;2025
1484;Puskás Júlia;1978;11;148;0;4;2358
1334;Szekeres Csongor;1991;6;133;1;4;2188
1224;Papp András;1974;2;122;1;4;2622
1154;Vörös Ábel;1986;7;115;1;4;2599
1131;Fazekas Györgyi;1969;8;113;0;4;1949
1124;Váradi Andor;1976;5;112;1;4;2344
1194;Pásztor Lili;1969;7;119;0;4;2853
1454;Németh Henrik;1997;6;145;1;4;2253
1294;Pál Rita;1976;1;129;0;4;2637
1094;Vincze Jolán;1989;9;109;0;4;2971
1174;Vincze Nándor;1971;12;117;1;4;2141
1004;Bognár Sándor;1969;6;100;1;4;2671
1414;Oláh Júlia;1992;8;141;0;4;2968
1264;Budai Dorina;1996;2;126;0;4;1805
1424;Kiss Anikó;1981;7;142;0;4;3015
1104;Pataki Zoltán;1970;7;110;1;4;1936
1204;László Csilla;1980;5;120;0;4;2895
1044;Tóth Antal;1968;6;104;1;4;2304
1314;Török Kornél;1988;4;131;1;4;2938
1014;Bodnár Renáta;1985;5;101;0;4;2396
1514;Antal Klaudia;1980;3;151;0;4;2914
1344;Novák Henrik;1995;9;134;1;4;2296
1491;Nemes Dominik;1989;9;149;1;4;1882
1384;Kovács Györgyi;1978;8;138;0;4;1763
1164;Sipos Zita;1972;4;116;0;4;1737
1024;Szalai Fanni;1967;12;102;0;4;2496
1354;Török Renáta;1985;4;135;0;4;2362
1394;Csonka András;1978;4;139;1;4;1795
1234;Hegedüs Anikó;1997;2;123;0;4;2604
1184;Farkas Henrik;1996;11;118;1;4;2148
1254;Végh Renáta;1986;11;125;0;4;1852
1114;László Róza;1972;4;111;0;4;2253
1474;Mészáros Éva;1994;5;147;0;4;2096
1171;Végh Mónika;1992;4;117;0;5;2538
1295;Kelemen Béla;1984;11;129;1;5;1943
1395;Bodnár Ildikó;1981;11;139;0;5;1869
1235;Deák Csilla;1975;8;123;0;5;2315
1075;Deák Luca;1977;9;107;0;5;2848
1215;Varga Klára;1984;2;121;0;5;2451
1515;Pál Dezső;1973;5;151;1;5;2904
1505;Gál Renáta;1997;9;150;0;5;2450
1375;Nagy Renáta;1993;7;137;0;5;2851
1435;Deák Edit;1994;12;143;0;5;2000
1385;Pataki Emil;1987;9;138;1;5;2349
1415;Balázs Barna;1967;7;141;1;5;2795
1185;Fodor Dénes;1977;10;118;1;5;2535
1325;Budai Tibor;1996;8;132;1;5;2820
1365;Soós Réka;1973;11;136;0;5;2101
1195;Hajdu Julianna;1992;3;119;0;5;2064
1105;Major Erika;1979;11;110;0;5;1771
1065;Fazekas Csilla;1998;5;106;0;5;2211
1475;Vincze Pál;1984;6;147;1;5;1847
1265;Magyar Lilla;1971;1;126;0;5;2697
1165;Veres Gergő;1992;2;116;1;5;2898
1025;Király Zsombor;1997;1;102;1;5;1714
1005;Rácz Melinda;1976;1;100;0;5;2081
1045;Váradi József;1999;7;104;1;5;1883
1345;Pál Olga;1987;7;134;0;5;3056
1155;Király Zita;1981;3;115;0;5;2688
1225;Sipos Martin;1999;5;122;1;5;2920
1052;Major Róbert;1971;1;105;1;5;3005
1285;Fazekas Arnold;1995;3;128;1;5;2953
1255;Varga Klaudia;1984;12;125;0;5;2109
1305;Dudás Dezső;1974;1;130;1;5;1940
1275;Rácz Olga;1968;11;127;0;5;2592
1492;Gulyás Aranka;1967;5;149;0;5;2915
1335;Váradi Vilmos;1974;1;133;1;5;2640
1465;Barta Olga;1984;7;146;0;5;2696
1125;Fekete Mariann;1984;2;112;0;5;2114
1355;Major Evelin;1993;6;135;0;5;3060
1445;Takács Ervin;1982;3;144;1;5;1776
1015;Csonka Júlia;1981;9;101;0;5;2720
1035;Deák Ákos;1985;7;103;1;5;2025
1315;Végh Lóránt;1974;3;131;1;5;2704
1205;Szücs Ágnes;1979;4;120;0;5;2574
1425;Mészáros Balázs;1995;6;142;1;5;2028
1115;Fehér Milán;1984;2;111;1;5;2087
1085;Balogh György;1973;9;108;1;5;2240
1145;Bogdán Kitti;1966;1;114;0;5;1747
1405;Szabó Martin;1981;10;140;1;5;2410
1485;Székely Dorina;1986;8;148;0;5;2662
1132;Barta Lóránt;1970;8;113;1;5;3057
1455;Hegedüs Erika;1966;9;145;0;5;3069
1095;Vincze Klára;1971;7;109;0;5;2933
1245;Kelemen Alex;1987;4;124;1;5;2970
1326;Katona Viktória;1968;6;132;0;6;2469
1506;Pataki Roland;1996;2;150;1;6;2502
1026;Szabó Marcell;1981;11;102;1;6;2328
1376;Fodor Szilvia;1985;8;137;0;6;2705
1256;Péter Zsuzsanna;1981;4;125;0;6;2723
1094;Vincze Jolán;1989;9;109;0;6;1795
1493;Vincze Beáta;1995;6;149;0;6;2375
1086;Gáspár Balázs;1986;9;108;1;6;2623
1196;Lakatos Norbert;1981;4;119;1;6;1854
1016;Bakos Györgyi;1969;8;101;0;6;2113
1106;Boros György;1989;5;110;1;6;1898
1516;Szekeres Szilvia;1991;4;151;0;6;2233
1392;Gulyás Ervin;1979;1;139;1;6;2125
1216;Fodor Patrik;1987;5;121;1;6;1715
1146;Csonka Mariann;1995;2;114;0;6;1758
1336;Farkas Piroska;1968;12;133;0;6;2737
1243;Szalai Renátó;1977;5;124;1;6;2699
1423;Nemes József;1972;8;142;1;6;3037
1133;Lengyel Tivadar;1976;2;113;1;6;1784
1386;Antal Balázs;1993;9;138;1;6;2633
1151;Faragó Balázs;1968;11;115;1;6;2980
1174;Vincze Nándor;1971;12;117;1;6;1761
1222;Szalai Renáta;1968;6;122;0;6;2118
1236;Varga Júlia;1971;3;123;0;6;1865
1456;Jakab Zsigmond;1978;1;145;1;6;2565
1046;Csonka János;1976;10;104;1;6;2392
1436;Vörös Csongor;1971;8;143;1;6;3008
1003;László Szilvia;1990;8;100;0;6;2325
1166;Molnár Olivér;1969;6;116;1;6;2442
1066;Szilágyi András;1988;11;106;1;6;2756
1266;Simon Renáta;1987;4;126;0;6;2765
1036;Deák Szabolcs;1993;11;103;1;6;3022
1296;Barna Irma;1987;2;129;0;6;2640
1466;Balla Milán;1983;5;146;1;6;1839
1276;Somogyi Szilvia;1972;3;127;0;6;2024
1316;Váradi Kitti;1986;6;131;0;6;2691
1486;Szőke Dániel;1996;11;148;1;6;1895
1286;Pál Arnold;1971;4;128;1;6;2177
1406;Borbély Ildikó;1980;1;140;0;6;2343
1306;Barta Brigitta;1992;2;130;0;6;1922
1476;Vass Martin;1966;11;147;1;6;3005
1446;Horváth Júlia;1976;4;144;0;6;3095
1182;Szűcs Klára;1999;9;118;0;6;2528
1203;Pintér Zsófia;1991;6;120;0;6;2713
1416;Jónás János;1979;12;141;1;6;1871
1126;Budai Nikoletta;1990;1;112;0;6;1815
1116;Deák Ágnes;1997;3;111;0;6;3047
1346;Szücs János;1989;9;134;1;6;2779
1051;Orsós Brigitta;1993;7;105;0;6;3060
1076;Péter Brigitta;1973;6;107;0;6;2961
1366;Balog Beáta;1979;10;136;0;6;3017
1352;Kocsis Marcell;1993;4;135;1;6;2588
